feature,importance_gain,importance_split
matched_top50_peak_count_20ppm,1170097.7308125496,1181
longest_y_ladder_20ppm,339049.6885855198,940
matched_y_count_10ppm,282694.44521450996,604
missed_cleavage_like,195485.66788482666,1097
matched_peak_rank_mean_20ppm,66717.05112314224,3105
min_abs_precursor_ppm,64354.439507484436,3161
rt,62245.43337702751,4229
delta_rt,62221.753777980804,3280
delta_rt_z_in_file,61940.006601810455,3039
predicted_rt,57284.59090971947,4010
longest_combined_ladder_20ppm,56296.1790034771,765
predicted_rt_z_in_file,50102.81889605522,3936
matched_loss_fraction_20ppm,46235.8103004694,2353
rt_z_in_file,41888.72000622749,3262
rt_norm_in_file,37595.72596883774,2856
c_terminal_coverage_20ppm,35876.156766176224,2698
neutral_mass,35405.49939060211,2250
intensity_weighted_abs_fragment_ppm_20ppm,34016.87036418915,2901
abs_precursor_ppm_error,33780.34894680977,1611
loss_explained_intensity_fraction_20ppm,32770.52839231491,3142
std_abs_fragment_ppm_20ppm,30406.799246311188,2675
matched_b_fraction_50ppm,29855.129162549973,1640
ppm_iso_-1,29736.91738677025,2252
mean_signed_fragment_ppm_20ppm,28827.352028608322,2948
top50_explained_intensity_fraction_20ppm,28353.861919164658,2484
explained_intensity_fraction_20ppm,28318.659055233,2364
peptide_length,27470.339420557022,1419
precursor_mz,27020.99438905716,2303
b_y_complement_pair_count_20ppm,26673.872673034668,668
abs_ppm_iso_1,25737.006469726562,1862
theoretical_precursor_mz,23851.32717013359,1963
median_abs_fragment_ppm_20ppm,22408.273869514465,2165
n_terminal_coverage_20ppm,22265.61124396324,2083
hydrophobic_aa_count,20718.710713148117,1793
matched_y_fraction_10ppm,20254.493836402893,1801
basic_aa_count,20218.408724308014,986
acidic_aa_count,19814.89559674263,1741
mean_abs_fragment_ppm_20ppm,19535.83391404152,1943
matched_b_fraction_20ppm,19259.908495903015,1458
matched_y_count_50ppm,19211.000278949738,670
precursor_ppm_error,19107.558927059174,1711
matched_peak_rank_min_20ppm,18791.730075120926,1831
matched_loss_count_20ppm,18629.271526813507,889
matched_y_fraction_50ppm,18467.277871251106,1666
matched_total_count_10ppm,17675.772810697556,607
matched_b_fraction_10ppm,15924.356270551682,1533
matched_top10_peak_count_20ppm,15212.840823173523,430
matched_total_fraction_50ppm,15087.451490402222,1462
matched_y_fraction_20ppm,14921.462175130844,1440
matched_total_fraction_10ppm,14550.482997655869,1388
ppm_iso_1,14420.739455461502,1238
ppm_iso_2,14352.900605201721,1262
matched_total_fraction_20ppm,13007.56720161438,1268
abs_ppm_iso_2,12151.301582694054,1128
mod_count,10470.672930955887,825
abs_delta_rt,9256.285182356834,667
matched_total_count_50ppm,9053.1635992527,715
matched_y_count_20ppm,8340.613188266754,396
charge,7192.741407155991,531
longest_b_ladder_20ppm,6776.942196846008,564
matched_peak_count_20ppm,6652.109959244728,488
matched_total_count_20ppm,5983.23072385788,382
abs_ppm_iso_0,5830.578922510147,321
fragment_position_count,5101.188508272171,306
abs_ppm_iso_-1,5043.910355329514,434
matched_b_count_50ppm,4561.667950630188,466
ppm_iso_0,4216.1283094882965,370
matched_b_count_10ppm,4094.6119000911713,357
matched_b_count_20ppm,3067.137162208557,329
main_ion_count,1551.7379565238953,48
has_mod,1096.3359925746918,95
best_isotope_offset,370.0511100292206,39
b_ion_count,157.38267946243286,9
y_ion_count,67.86613941192627,7
has_ion_mobility,0.0,0
ion_mobility_norm_in_file,0.0,0
ion_mobility_z_in_file,0.0,0
ion_mobility,0.0,0
loss_ion_count,0.0,0
fragment_parse_ok,0.0,0
unknown_mod_count,0.0,0
parse_ok,0.0,0
instrument_id,0.0,0
